school-code,ng,E,D,D+,C,C+,B,B+,A,A+,total,class,year
2846,45,0,0,0,0,0,14,8,0,0,67,12,2079
2847,18,0,0,0,0,0,7,4,0,0,29,12,2079
2848,25,0,0,0,0,0,1,0,0,0,26,12,2079
2849,2,0,0,0,0,1,5,7,0,0,15,12,2079
2850,6,0,0,0,0,0,0,0,0,0,6,12,2079
2851,26,0,0,0,0,2,6,2,0,0,36,12,2079
2852,12,0,0,0,0,1,4,2,0,0,19,12,2079
2853,26,0,0,0,0,0,1,2,0,0,29,12,2079
2854,12,0,0,0,0,0,15,6,0,0,33,12,2079
2855,27,0,0,0,0,0,1,1,0,0,29,12,2079
2856,8,0,0,0,0,0,3,9,2,0,22,12,2079
2857,15,0,0,0,0,1,1,0,0,0,17,12,2079
2858,20,0,0,0,0,0,3,4,0,0,27,12,2079
2901,59,0,0,0,0,5,17,7,0,0,88,12,2079
2902,30,0,0,0,0,3,5,1,0,0,39,12,2079
2903,49,0,0,0,0,0,3,0,0,0,52,12,2079
2904,36,0,0,0,0,0,0,0,1,0,37,12,2079
2905,12,0,0,0,0,2,1,0,0,0,15,12,2079
2906,9,0,0,0,0,0,1,0,0,0,10,12,2079
2907,24,0,0,0,0,0,2,1,0,0,27,12,2079
2908,23,0,0,0,1,6,4,2,0,0,36,12,2079
2909,13,0,0,0,0,0,3,1,0,0,17,12,2079
2910,10,0,0,0,0,4,16,1,0,0,31,12,2079
2911,23,0,0,0,0,1,2,2,0,0,28,12,2079
3001,251,0,0,0,0,6,107,98,33,4,499,12,2079
3003,10,0,0,0,0,0,20,20,9,0,59,12,2079
3004,43,0,0,0,0,2,3,3,0,0,51,12,2079
3005,18,0,0,0,0,0,7,0,0,0,25,12,2079
3006,23,0,0,0,0,5,27,27,7,0,89,12,2079
3007,30,0,0,0,0,7,10,4,1,0,52,12,2079
3008,68,0,0,0,0,1,11,12,8,0,100,12,2079
3009,46,0,0,0,0,1,7,6,1,0,61,12,2079
3010,12,0,0,0,0,0,6,35,27,4,84,12,2079
3011,12,0,0,0,0,0,3,3,0,0,18,12,2079
3012,12,0,0,0,0,1,8,2,0,0,23,12,2079
3013,69,0,0,0,0,1,12,9,1,0,92,12,2079
3014,69,0,0,0,0,1,28,22,10,0,130,12,2079
3015,9,0,0,0,0,0,5,3,0,0,17,12,2079
3016,17,0,0,0,0,1,17,29,14,0,78,12,2079
3017,52,0,0,0,0,5,26,12,3,1,99,12,2079
3018,33,0,0,0,0,1,12,0,2,0,48,12,2079
3019,25,0,0,0,0,1,4,3,0,0,33,12,2079
3020,13,0,0,0,0,0,4,7,0,0,24,12,2079
3021,23,0,0,0,0,0,8,12,2,0,45,12,2079
3022,30,0,0,0,0,1,4,8,1,0,44,12,2079
3023,22,0,0,0,0,6,19,12,1,0,60,12,2079
3024,16,0,0,0,0,12,22,2,0,0,52,12,2079
3025,26,0,0,0,0,2,16,7,3,0,54,12,2079
3026,25,0,0,0,0,3,9,2,0,0,39,12,2079
3027,19,0,0,0,0,4,16,9,1,0,49,12,2079
3028,39,0,0,0,0,6,7,1,0,0,53,12,2079
3029,31,0,0,0,0,3,12,5,2,0,53,12,2079
3030,11,0,0,0,0,5,5,2,0,0,23,12,2079
3031,19,0,0,0,0,4,22,12,3,1,61,12,2079
3032,18,0,0,0,0,0,4,1,0,0,23,12,2079
3033,7,0,0,0,0,5,7,1,0,0,20,12,2079
3034,22,0,0,0,0,1,8,4,0,0,35,12,2079
3035,6,0,0,0,0,5,14,17,2,0,44,12,2079
3036,33,0,0,0,0,1,4,4,0,0,42,12,2079
