school-code,ng,E,D,D+,C,C+,B,B+,A,A+,total,class,year
101,0,0,0,3,15,6,1,1,0,0,26,11,2075
102,0,3,0,0,10,5,0,0,0,0,18,11,2075
103,0,1,0,2,6,5,0,0,0,0,14,11,2075
104,0,7,0,6,9,19,4,0,0,0,45,11,2075
105,0,3,2,13,14,9,0,0,0,0,41,11,2075
106,0,40,4,33,108,78,24,1,0,0,288,11,2075
107,0,0,0,9,28,5,1,0,0,0,43,11,2075
108,0,0,0,2,6,0,1,0,0,0,9,11,2075
109,0,3,0,3,10,9,1,0,0,0,26,11,2075
110,0,3,0,2,2,10,4,0,0,0,21,11,2075
112,0,0,0,4,9,16,3,0,0,0,32,11,2075
113,0,0,0,3,14,16,2,0,1,0,36,11,2075
114,0,1,0,3,14,8,1,0,0,0,27,11,2075
115,0,2,0,9,8,1,0,0,0,0,20,11,2075
116,0,0,0,1,13,5,0,0,0,0,19,11,2075
117,0,7,0,0,7,10,0,0,0,0,24,11,2075
118,0,2,0,5,14,6,1,0,0,0,28,11,2075
119,0,9,1,27,31,26,10,4,0,0,108,11,2075
120,0,1,0,2,14,6,0,1,0,0,24,11,2075
121,0,6,3,15,6,1,0,0,0,0,31,11,2075
122,0,3,0,4,11,10,2,0,0,0,30,11,2075
123,0,0,0,0,3,1,0,0,0,0,4,11,2075
124,0,4,0,21,16,4,1,0,0,0,46,11,2075
125,0,5,1,2,2,0,0,0,0,0,10,11,2075
126,0,0,0,0,3,3,0,0,0,0,6,11,2075
127,0,3,0,1,6,8,1,0,0,0,19,11,2075
128,0,4,0,0,5,5,1,1,0,0,16,11,2075
129,0,0,0,0,8,8,2,1,0,0,19,11,2075
130,0,0,1,1,0,0,0,0,0,0,2,11,2075
201,0,0,1,13,17,16,6,0,1,0,54,11,2075
202,0,1,0,2,3,9,2,0,0,0,17,11,2075
204,0,7,0,20,53,35,4,2,0,0,121,11,2075
205,0,2,0,9,10,27,7,2,0,0,57,11,2075
206,0,3,2,9,19,15,3,0,0,0,51,11,2075
207,0,1,2,15,13,7,1,0,0,0,39,11,2075
208,0,1,2,11,26,14,2,0,0,0,56,11,2075
209,0,1,5,5,15,12,2,0,0,0,40,11,2075
210,0,4,0,1,16,18,11,0,0,0,50,11,2075
211,0,6,5,11,8,2,1,0,0,0,33,11,2075
212,0,1,2,3,11,11,4,0,0,0,32,11,2075
213,0,21,4,51,105,83,40,11,1,0,316,11,2075
214,0,1,0,8,15,10,2,0,0,0,36,11,2075
215,0,3,1,7,15,3,0,0,0,0,29,11,2075
216,0,6,1,14,16,1,0,0,0,0,38,11,2075
217,0,1,0,5,15,3,1,0,0,0,25,11,2075
218,0,0,0,0,14,17,3,0,0,0,34,11,2075
219,0,2,1,6,7,3,2,0,0,0,21,11,2075
220,0,2,3,13,12,4,0,0,0,0,34,11,2075
221,0,1,1,6,14,16,0,0,0,0,38,11,2075
222,0,1,2,10,14,1,0,0,0,0,28,11,2075
223,0,0,2,5,15,5,0,0,0,0,27,11,2075
224,0,2,0,3,4,6,0,0,0,0,15,11,2075
225,0,4,0,2,10,7,1,0,0,0,24,11,2075
226,0,6,0,2,25,34,18,1,0,0,86,11,2075
227,0,3,0,1,12,14,4,0,0,0,34,11,2075
228,0,5,0,3,6,2,0,0,0,0,16,11,2075
229,0,0,0,12,21,1,0,0,0,0,34,11,2075
230,0,2,1,21,19,9,0,0,0,0,52,11,2075
231,0,2,0,5,9,5,0,0,0,0,21,11,2075
232,0,0,0,2,9,5,0,0,0,0,16,11,2075
233,0,4,0,5,12,8,0,0,0,0,29,11,2075
234,0,2,0,2,3,1,0,0,0,0,8,11,2075
235,0,4,0,1,11,4,0,0,0,0,20,11,2075
236,0,0,0,1,5,3,1,0,0,0,10,11,2075
237,0,5,7,28,13,4,0,0,0,0,57,11,2075
301,0,2,3,23,28,11,2,0,1,0,70,11,2075
302,0,27,6,44,65,49,26,6,1,0,224,11,2075
303,0,9,1,16,35,31,16,7,1,0,116,11,2075
304,0,1,4,10,14,13,2,0,0,0,44,11,2075
305,0,5,0,21,53,34,7,2,0,0,122,11,2075
306,0,71,8,89,208,147,54,14,0,0,591,11,2075
307,0,0,0,3,5,1,2,0,0,0,11,11,2075
308,0,1,1,10,9,4,0,2,0,0,27,11,2075
310,0,19,0,15,37,24,2,2,2,0,101,11,2075
311,0,2,2,15,30,13,4,0,0,0,66,11,2075
312,0,4,1,19,37,15,2,3,0,0,81,11,2075
313,0,2,0,12,11,2,3,0,0,0,30,11,2075
314,0,2,0,7,15,5,0,0,0,0,29,11,2075
315,0,6,2,32,67,32,11,1,0,0,151,11,2075
316,0,0,1,1,14,10,2,2,0,0,30,11,2075
317,0,3,0,12,25,19,6,1,0,0,66,11,2075
318,0,3,0,7,11,11,5,0,0,0,37,11,2075
319,0,1,1,11,16,12,2,0,0,0,43,11,2075
320,0,1,0,5,18,14,1,2,0,0,41,11,2075
321,0,1,0,5,19,19,0,1,0,0,45,11,2075
322,0,3,1,4,17,11,3,0,0,0,39,11,2075
323,0,0,0,5,18,20,10,0,0,0,53,11,2075
324,0,3,0,5,24,20,3,0,0,0,55,11,2075
325,0,4,0,1,23,22,0,0,0,0,50,11,2075
326,0,2,1,12,31,11,2,0,0,0,59,11,2075
327,0,6,1,17,22,13,3,0,0,0,62,11,2075
328,0,1,0,5,12,9,1,0,0,0,28,11,2075
329,0,0,0,0,12,10,1,0,0,0,23,11,2075
330,0,3,1,9,6,4,5,0,0,0,28,11,2075
331,0,2,0,20,32,12,2,0,0,0,68,11,2075
332,0,1,0,8,18,7,3,0,0,0,37,11,2075
333,0,8,0,2,6,8,6,1,0,0,31,11,2075
334,0,2,0,7,12,5,1,0,0,0,27,11,2075
335,0,3,0,2,10,6,3,1,0,0,25,11,2075
336,0,1,0,6,8,4,1,0,0,0,20,11,2075
337,0,9,0,1,8,10,2,0,0,0,30,11,2075
339,0,3,0,3,8,0,0,0,0,0,14,11,2075
340,0,1,0,4,12,5,4,0,0,0,26,11,2075
341,0,0,0,3,5,3,2,0,0,0,13,11,2075
342,0,0,2,2,2,7,10,2,0,0,25,11,2075
343,0,0,0,2,6,7,4,1,0,0,20,11,2075
403,0,2,4,13,14,9,1,2,0,0,45,11,2075
404,0,1,0,9,31,19,3,3,0,0,66,11,2075
405,0,1,0,2,8,12,15,10,3,0,51,11,2075
406,0,1,0,1,9,12,19,9,0,0,51,11,2075
407,0,2,0,16,44,99,96,37,12,2,308,11,2075
408,0,17,11,69,138,148,55,14,3,0,455,11,2075
409,0,3,6,14,34,62,62,26,8,2,217,11,2075
410,0,4,4,21,37,9,3,3,0,0,81,11,2075
411,0,0,1,9,19,9,3,0,0,0,41,11,2075
412,0,6,5,33,64,37,3,0,0,0,148,11,2075
413,0,7,2,14,20,39,62,36,8,1,189,11,2075
414,0,4,0,6,11,27,29,15,2,1,95,11,2075
415,0,1,3,7,21,10,2,0,0,0,44,11,2075
416,0,7,0,20,45,50,16,2,0,0,140,11,2075
417,0,0,5,8,15,14,2,1,0,0,45,11,2075
418,0,6,3,20,46,73,78,45,15,0,286,11,2075
419,0,25,38,73,96,132,56,14,1,0,435,11,2075
420,0,4,0,12,41,57,68,49,5,0,236,11,2075
421,0,8,5,21,47,35,20,0,0,0,136,11,2075
422,0,8,0,9,56,80,64,35,8,0,260,11,2075
424,0,2,0,5,9,21,13,10,2,0,62,11,2075
425,0,0,1,7,38,46,64,56,11,0,223,11,2075
426,0,3,2,21,38,98,83,30,9,1,285,11,2075
427,0,9,3,19,60,53,15,0,0,0,159,11,2075
428,0,1,2,6,11,8,5,2,0,0,35,11,2075
429,0,1,1,11,26,12,4,1,0,0,56,11,2075
430,0,1,0,10,29,23,5,0,0,0,68,11,2075
431,0,1,0,7,29,36,2,1,0,0,76,11,2075
433,0,28,18,58,92,62,18,9,1,0,286,11,2075
434,0,2,1,16,29,10,4,0,0,0,62,11,2075
436,0,3,1,8,33,23,11,3,0,0,82,11,2075
437,0,23,6,55,177,140,63,8,1,0,473,11,2075
439,0,0,0,0,0,3,3,0,0,0,6,11,2075
440,0,6,4,19,31,26,4,0,1,0,91,11,2075
441,0,4,0,7,25,16,6,0,0,0,58,11,2075
442,0,8,4,19,62,45,12,1,2,0,153,11,2075
443,0,2,0,2,34,44,9,4,0,0,95,11,2075
444,0,24,11,42,79,68,25,11,0,0,260,11,2075
445,0,9,0,19,69,52,12,0,0,0,161,11,2075
446,0,1,0,3,5,20,14,3,1,0,47,11,2075
447,0,3,1,15,19,12,6,1,0,0,57,11,2075
448,0,2,0,4,7,19,18,5,2,0,57,11,2075
449,0,7,6,26,32,27,12,3,0,0,113,11,2075
450,0,0,0,5,11,11,9,1,0,0,37,11,2075
451,0,7,5,14,19,8,2,1,0,0,56,11,2075
452,0,2,8,13,14,4,1,0,0,0,42,11,2075
453,0,3,2,15,32,18,3,0,0,0,73,11,2075
454,0,4,0,4,4,3,1,0,0,0,16,11,2075
455,0,3,4,12,53,28,5,2,0,0,107,11,2075
456,0,1,0,4,7,8,2,1,0,0,23,11,2075
457,0,9,6,36,21,10,3,0,0,0,85,11,2075
458,0,3,0,8,14,9,1,0,0,0,35,11,2075
459,0,0,2,14,32,5,3,0,0,0,56,11,2075
460,0,2,1,3,11,17,3,0,0,0,37,11,2075
461,0,0,1,0,22,10,1,0,0,0,34,11,2075
462,0,1,0,3,21,38,15,2,0,0,80,11,2075
463,0,0,1,15,39,18,1,0,0,0,74,11,2075
464,0,1,0,1,3,5,0,0,0,0,10,11,2075
465,0,1,0,6,12,4,5,1,1,0,30,11,2075
466,0,4,0,2,16,34,22,8,3,0,89,11,2075
467,0,1,0,6,15,27,36,23,3,0,111,11,2075
468,0,0,0,5,6,3,0,1,0,0,15,11,2075
469,0,5,3,10,5,3,5,0,0,0,31,11,2075
470,0,4,0,18,41,18,1,0,0,0,82,11,2075
471,0,6,6,10,24,4,0,0,0,0,50,11,2075
472,0,2,2,10,23,24,8,1,0,0,70,11,2075
473,0,2,0,3,13,10,2,0,0,0,30,11,2075
474,0,2,0,3,14,7,0,0,0,0,26,11,2075
475,0,5,0,4,19,11,3,1,0,0,43,11,2075
476,0,3,0,4,21,6,3,0,1,0,38,11,2075
478,0,0,0,6,10,12,5,2,1,0,36,11,2075
479,0,0,0,4,14,19,4,1,2,0,44,11,2075
480,0,28,6,48,87,96,40,12,4,0,321,11,2075
481,0,1,0,1,2,2,4,4,0,0,14,11,2075
482,0,0,0,7,18,4,2,0,0,0,31,11,2075
483,0,1,0,2,4,14,5,1,0,0,27,11,2075
484,0,2,0,7,15,9,5,0,0,0,38,11,2075
485,0,9,1,12,26,18,5,0,1,0,72,11,2075
486,0,1,0,0,0,0,1,2,0,0,4,11,2075
487,0,0,0,4,15,9,3,0,1,0,32,11,2075
488,0,47,32,135,334,305,164,58,20,0,1095,11,2075
489,0,1,2,9,31,63,94,65,13,0,278,11,2075
490,0,3,0,7,17,6,0,0,0,0,33,11,2075
491,0,3,4,57,74,53,25,12,2,2,232,11,2075
492,0,5,0,21,36,12,3,0,0,0,77,11,2075
493,0,5,0,3,9,6,0,0,0,0,23,11,2075
494,0,0,0,6,22,7,3,0,0,0,38,11,2075
495,0,1,0,0,3,10,36,37,12,1,100,11,2075
496,0,1,0,1,2,9,18,9,4,0,44,11,2075
497,0,2,0,4,28,6,3,0,0,0,43,11,2075
498,0,3,3,7,21,6,1,0,0,0,41,11,2075
499,0,2,0,5,30,26,2,0,0,0,65,11,2075
501,0,7,46,60,31,15,5,1,0,0,165,11,2075
502,0,10,22,45,78,37,9,1,0,0,202,11,2075
503,0,2,4,24,20,9,3,1,0,0,63,11,2075
504,0,9,15,42,28,6,2,0,0,0,102,11,2075
505,0,5,4,21,33,12,4,0,0,0,79,11,2075
507,0,25,47,99,145,130,36,12,5,1,500,11,2075
508,0,3,0,0,1,1,0,0,0,0,5,11,2075
509,0,0,2,1,26,88,205,245,142,15,724,11,2075
510,0,7,20,35,46,35,18,9,1,0,171,11,2075
511,0,12,8,42,80,58,20,7,3,0,230,11,2075
512,0,45,51,119,167,98,48,30,6,0,564,11,2075
513,0,2,15,20,18,6,1,0,0,0,62,11,2075
515,0,0,0,0,2,6,12,10,3,0,33,11,2075
516,0,16,25,81,76,45,79,51,5,0,378,11,2075
518,0,5,2,22,10,0,1,0,0,0,40,11,2075
520,0,18,11,35,93,196,214,160,58,9,794,11,2075
521,0,6,2,10,32,32,4,3,0,0,89,11,2075
522,0,15,3,24,52,51,39,18,1,0,203,11,2075
523,0,3,19,41,35,18,6,2,0,0,124,11,2075
524,0,8,12,19,22,11,1,0,0,0,73,11,2075
526,0,10,0,11,32,26,4,0,0,0,83,11,2075
527,0,10,4,13,102,155,117,62,36,2,501,11,2075
528,0,13,43,86,77,43,17,9,0,0,288,11,2075
529,0,27,80,94,38,41,14,3,0,0,297,11,2075
530,0,2,12,15,15,0,0,0,0,0,44,11,2075
531,0,3,11,35,26,19,4,1,0,0,99,11,2075
534,0,14,18,21,15,7,4,0,0,0,79,11,2075
535,0,12,7,37,39,13,3,0,0,0,111,11,2075
536,0,20,27,72,67,36,21,6,5,0,254,11,2075
537,0,0,3,3,2,1,1,0,0,0,10,11,2075
538,0,5,16,41,37,11,2,0,0,0,112,11,2075
540,0,9,10,11,26,8,2,0,0,0,66,11,2075
541,0,23,21,26,48,53,11,2,0,0,184,11,2075
542,0,4,3,32,62,77,67,33,8,0,286,11,2075
543,0,4,12,10,14,8,2,2,0,0,52,11,2075
544,0,14,13,58,48,22,10,5,0,0,170,11,2075
545,0,4,12,26,39,13,3,1,0,0,98,11,2075
546,0,3,5,10,16,17,18,8,0,0,77,11,2075
547,0,0,0,1,2,7,5,3,0,0,18,11,2075
548,0,19,4,29,118,255,212,91,19,0,747,11,2075
549,0,15,1,10,70,244,347,176,33,5,901,11,2075
550,0,15,3,13,51,111,87,25,5,1,311,11,2075
551,0,3,6,8,25,16,8,2,0,0,68,11,2075
553,0,2,4,9,15,11,1,2,0,0,44,11,2075
555,0,9,10,31,33,10,3,0,0,0,96,11,2075
556,0,28,1,12,26,60,60,15,9,0,211,11,2075
557,0,3,0,11,25,30,22,12,1,0,104,11,2075
559,0,7,15,31,18,15,1,0,0,0,87,11,2075
560,0,25,42,59,59,27,5,0,1,0,218,11,2075
561,0,8,3,20,29,16,5,1,0,0,82,11,2075
562,0,2,1,20,29,9,0,0,0,0,61,11,2075
563,0,6,15,57,29,9,0,0,0,0,116,11,2075
564,0,1,6,12,15,6,3,2,0,0,45,11,2075
565,0,2,12,26,26,9,1,0,0,0,76,11,2075
567,0,0,0,2,5,15,17,7,2,0,48,11,2075
569,0,5,0,18,79,41,4,0,0,0,147,11,2075
570,0,4,9,12,11,5,0,0,0,0,41,11,2075
571,0,4,1,21,38,14,11,1,0,0,90,11,2075
572,0,2,1,8,22,19,5,0,0,0,57,11,2075
573,0,4,4,18,29,11,2,0,0,0,68,11,2075
574,0,0,3,24,15,5,2,0,0,0,49,11,2075
575,0,4,1,3,3,0,0,0,0,0,11,11,2075
576,0,20,3,16,12,1,0,1,0,0,53,11,2075
577,0,2,18,23,15,10,2,0,0,0,70,11,2075
578,0,4,9,23,38,26,6,1,0,0,107,11,2075
579,0,1,1,5,9,10,7,3,0,0,36,11,2075
580,0,3,21,26,6,4,0,0,0,0,60,11,2075
581,0,1,13,20,10,4,0,0,0,0,48,11,2075
582,0,5,8,23,43,6,5,1,0,0,91,11,2075
583,0,1,0,5,5,1,1,0,0,0,13,11,2075
584,0,1,10,21,13,11,4,0,0,0,60,11,2075
585,0,21,1,24,68,86,37,10,0,0,247,11,2075
586,0,0,0,3,3,3,0,2,0,0,11,11,2075
587,0,6,16,17,12,5,4,1,0,0,61,11,2075
588,0,1,0,9,7,2,0,0,0,0,19,11,2075
590,0,5,1,19,18,3,0,0,0,0,46,11,2075
591,0,17,2,25,55,51,9,2,0,0,161,11,2075
592,0,4,0,2,24,11,3,0,0,0,44,11,2075
593,0,2,0,0,8,23,44,8,2,2,89,11,2075
594,0,14,9,35,45,19,8,1,0,0,131,11,2075
595,0,25,7,18,18,2,1,0,0,0,71,11,2075
596,0,2,3,17,22,13,11,3,0,0,71,11,2075
597,0,0,0,2,0,0,0,0,0,0,2,11,2075
598,0,5,6,21,46,73,31,8,4,0,194,11,2075
601,0,5,13,44,30,14,2,0,0,0,108,11,2075
602,0,10,25,39,25,17,2,0,0,0,118,11,2075
603,0,18,6,59,116,97,48,26,6,0,376,11,2075
604,0,9,0,7,14,34,19,8,3,0,94,11,2075
605,0,6,16,22,13,4,1,0,0,0,62,11,2075
606,0,13,12,32,110,138,96,47,11,2,461,11,2075
607,0,2,10,32,62,98,103,58,22,0,387,11,2075
608,0,8,11,22,61,74,45,16,6,1,244,11,2075
609,0,14,10,45,118,188,177,106,38,0,696,11,2075
610,0,4,1,11,27,19,0,2,0,0,64,11,2075
611,0,6,0,16,42,13,1,0,0,0,78,11,2075
612,0,3,14,12,23,18,4,1,0,0,75,11,2075
613,0,2,0,0,0,4,4,0,0,0,10,11,2075
614,0,15,38,117,82,23,11,4,0,0,290,11,2075
615,0,21,22,61,88,55,28,8,1,0,284,11,2075
616,0,31,12,24,19,11,2,1,0,0,100,11,2075
617,0,11,1,12,14,16,3,0,0,0,57,11,2075
618,0,17,20,62,83,75,40,14,0,0,311,11,2075
619,0,1,0,4,9,29,21,13,2,0,79,11,2075
620,0,34,16,45,90,85,36,5,1,0,312,11,2075
621,0,20,17,95,92,24,3,1,1,0,253,11,2075
622,0,4,4,19,57,107,102,44,24,1,362,11,2075
623,0,46,41,85,104,70,29,9,5,0,389,11,2075
624,0,21,13,68,166,112,36,11,0,0,427,11,2075
625,0,6,0,0,0,0,0,0,0,0,6,11,2075
627,0,8,14,46,50,20,5,0,0,0,143,11,2075
628,0,5,0,2,9,10,8,3,0,0,37,11,2075
629,0,2,14,36,46,25,5,0,0,0,128,11,2075
630,0,0,0,1,1,16,44,44,20,0,126,11,2075
631,0,1,0,0,11,31,24,4,0,0,71,11,2075
632,0,5,3,10,15,9,9,8,2,0,61,11,2075
633,0,3,1,2,12,1,1,0,0,0,20,11,2075
634,0,1,3,16,33,17,3,4,2,0,79,11,2075
635,0,1,0,32,17,7,0,0,0,0,57,11,2075
636,0,8,17,31,18,1,1,0,0,0,76,11,2075
637,0,1,1,6,28,17,4,0,0,0,57,11,2075
639,0,0,3,6,14,9,3,1,0,0,36,11,2075
640,0,3,0,13,25,17,3,3,0,0,64,11,2075
641,0,6,1,25,64,52,8,1,0,0,157,11,2075
642,0,9,20,29,35,18,6,1,0,0,118,11,2075
643,0,1,0,1,1,1,0,0,0,0,4,11,2075
644,0,3,0,6,14,3,1,0,0,0,27,11,2075
645,0,1,0,2,1,1,0,0,0,0,5,11,2075
646,0,2,3,20,11,2,0,0,0,0,38,11,2075
647,0,11,4,4,5,1,1,0,0,0,26,11,2075
648,0,2,1,6,18,9,0,0,0,0,36,11,2075
649,0,1,3,8,20,16,5,1,0,0,54,11,2075
650,0,14,5,40,58,47,17,1,0,0,182,11,2075
651,0,2,6,5,4,4,4,2,0,0,27,11,2075
652,0,5,0,5,17,6,3,5,0,0,41,11,2075
653,0,2,0,8,5,0,1,0,0,0,16,11,2075
654,0,1,0,6,9,16,5,0,0,0,37,11,2075
655,0,1,0,1,3,7,5,0,0,0,17,11,2075
656,0,3,6,21,15,5,1,0,0,0,51,11,2075
657,0,6,4,6,13,2,2,0,0,0,33,11,2075
658,0,3,0,4,13,4,2,2,0,0,28,11,2075
659,0,2,6,3,10,9,5,1,0,0,36,11,2075
661,0,4,17,50,82,43,12,2,0,0,210,11,2075
662,0,9,8,22,45,49,18,3,0,0,154,11,2075
664,0,19,7,36,77,72,33,9,0,0,253,11,2075
666,0,1,0,0,4,8,4,0,0,0,17,11,2075
667,0,12,20,75,73,56,12,0,0,0,248,11,2075
668,0,1,1,7,21,11,2,0,0,0,43,11,2075
669,0,1,0,3,8,5,3,1,0,0,21,11,2075
670,0,0,2,4,3,9,5,4,1,0,28,11,2075
671,0,1,4,24,5,1,1,0,0,0,36,11,2075
672,0,1,1,4,3,0,0,0,0,0,9,11,2075
674,0,9,3,8,10,4,1,1,0,0,36,11,2075
675,0,28,4,41,83,86,42,18,7,0,309,11,2075
676,0,0,3,3,10,7,2,1,0,0,26,11,2075
677,0,0,0,0,1,5,27,24,5,0,62,11,2075
678,0,0,0,0,4,7,5,0,0,0,16,11,2075
680,0,0,0,3,2,5,3,4,1,0,18,11,2075
682,0,0,0,1,6,13,5,1,0,0,26,11,2075
701,0,0,1,2,18,1,1,0,0,0,23,11,2075
702,0,4,0,2,18,4,5,1,0,0,34,11,2075
703,0,0,2,13,23,5,0,0,0,0,43,11,2075
704,0,0,0,15,26,18,4,2,1,0,66,11,2075
705,0,14,2,42,73,77,40,10,2,0,260,11,2075
706,0,4,4,19,45,28,3,1,0,0,104,11,2075
707,0,4,0,11,25,12,6,0,0,0,58,11,2075
708,0,1,10,13,4,3,0,0,0,0,31,11,2075
709,0,1,1,10,13,1,0,0,0,0,26,11,2075
710,0,10,0,9,15,2,3,0,0,0,39,11,2075
711,0,0,14,29,24,11,0,0,0,0,78,11,2075
712,0,1,0,1,4,9,6,6,3,0,30,11,2075
713,0,3,2,8,14,2,0,0,0,0,29,11,2075
714,0,1,3,22,38,21,8,0,0,0,93,11,2075
715,0,1,1,3,11,12,13,1,0,0,42,11,2075
716,0,4,1,2,9,4,0,0,0,0,20,11,2075
717,0,0,1,7,11,5,2,0,0,0,26,11,2075
718,0,4,0,4,12,1,0,1,0,0,22,11,2075
719,0,3,7,30,21,3,4,0,0,0,68,11,2075
720,0,4,3,19,19,11,4,0,0,0,60,11,2075
721,0,2,1,0,6,4,3,1,0,0,17,11,2075
722,0,2,2,3,9,7,0,0,0,0,23,11,2075
723,0,5,0,13,11,1,0,0,0,0,30,11,2075
724,0,1,0,1,11,3,1,0,0,0,17,11,2075
725,0,0,1,7,12,7,2,0,0,0,29,11,2075
726,0,2,0,1,5,10,1,0,0,0,19,11,2075
727,0,1,1,10,16,3,0,0,0,0,31,11,2075
728,0,1,0,1,7,6,2,0,0,0,17,11,2075
729,0,6,0,2,14,5,2,0,0,0,29,11,2075
730,0,2,0,0,11,7,0,0,0,0,20,11,2075
731,0,1,0,1,7,1,0,0,0,0,10,11,2075
732,0,9,3,15,71,30,13,4,0,0,145,11,2075
733,0,1,0,3,9,7,1,1,0,0,22,11,2075
734,0,0,0,1,10,2,1,0,0,0,14,11,2075
735,0,8,1,7,10,4,0,0,0,0,30,11,2075
736,0,1,0,2,9,7,0,0,0,0,19,11,2075
737,0,0,1,4,6,2,0,0,0,0,13,11,2075
738,0,1,0,1,12,4,0,1,0,0,19,11,2075
739,0,1,1,5,6,3,0,0,0,0,16,11,2075
740,0,0,0,10,10,2,1,0,0,0,23,11,2075
741,0,1,0,2,9,5,1,0,0,0,18,11,2075
742,0,1,0,3,2,2,0,0,0,0,8,11,2075
743,0,3,0,1,3,7,3,3,0,0,20,11,2075
801,0,4,3,26,32,18,6,3,2,0,94,11,2075
802,0,2,3,25,14,5,0,0,0,0,49,11,2075
803,0,2,0,5,6,6,0,1,0,0,20,11,2075
804,0,1,0,4,13,13,0,1,0,0,32,11,2075
805,0,0,0,2,9,3,0,0,0,0,14,11,2075
806,0,2,1,12,15,14,5,0,0,0,49,11,2075
807,0,7,1,9,14,3,0,0,0,0,34,11,2075
808,0,5,4,17,32,18,3,1,0,0,80,11,2075
809,0,2,1,9,25,15,1,0,0,0,53,11,2075
810,0,1,1,7,14,7,1,0,0,0,31,11,2075
811,0,0,1,2,9,3,0,0,0,0,15,11,2075
812,0,3,2,19,18,10,3,0,0,0,55,11,2075
813,0,3,5,20,27,26,4,1,0,0,86,11,2075
814,0,0,0,9,6,3,0,0,0,0,18,11,2075
815,0,1,0,5,12,8,1,0,0,0,27,11,2075
816,0,0,3,18,17,5,2,0,0,0,45,11,2075
817,0,1,0,3,9,5,1,0,0,0,19,11,2075
818,0,1,0,7,7,2,3,0,0,0,20,11,2075
819,0,2,0,7,4,4,1,1,0,0,19,11,2075
820,0,3,6,26,3,0,0,0,0,0,38,11,2075
821,0,1,13,30,35,10,5,0,0,0,94,11,2075
822,0,1,2,7,2,0,0,0,0,0,12,11,2075
823,0,1,0,6,8,3,0,0,0,0,18,11,2075
824,0,0,1,8,10,0,0,0,0,0,19,11,2075
825,0,0,4,9,8,2,0,0,0,0,23,11,2075
826,0,1,0,0,4,2,0,0,0,0,7,11,2075
827,0,1,0,7,11,10,3,0,0,0,32,11,2075
828,0,0,0,6,8,2,2,0,0,0,18,11,2075
829,0,3,0,8,11,2,0,1,0,0,25,11,2075
830,0,0,0,6,6,4,0,0,0,0,16,11,2075
901,0,18,15,65,82,37,8,1,0,0,226,11,2075
903,0,3,2,10,21,12,0,0,0,0,48,11,2075
904,0,0,0,8,24,15,2,0,0,0,49,11,2075
905,0,34,24,77,69,23,6,0,0,0,233,11,2075
906,0,0,0,1,11,13,0,0,0,0,25,11,2075
907,0,2,0,6,11,3,0,0,0,0,22,11,2075
908,0,2,0,0,22,7,1,0,0,0,32,11,2075
909,0,7,2,13,25,12,0,1,0,0,60,11,2075
910,0,1,0,5,10,10,0,0,0,0,26,11,2075
911,0,4,0,1,4,5,2,2,0,0,18,11,2075
912,0,3,2,7,7,1,0,0,0,0,20,11,2075
913,0,1,0,2,19,9,3,0,0,0,34,11,2075
914,0,0,0,10,28,19,2,0,0,0,59,11,2075
915,0,4,0,9,23,14,5,1,0,0,56,11,2075
916,0,4,8,22,47,27,10,2,0,0,120,11,2075
917,0,5,1,5,15,12,5,0,1,0,44,11,2075
918,0,4,0,4,14,2,1,0,0,0,25,11,2075
919,0,3,1,12,5,1,0,0,0,0,22,11,2075
920,0,0,0,2,3,2,0,0,0,0,7,11,2075
921,0,6,0,4,4,0,0,0,0,0,14,11,2075
922,0,0,0,7,5,2,0,0,0,0,14,11,2075
923,0,0,0,1,2,4,3,0,0,0,10,11,2075
1001,0,5,1,4,28,14,9,0,0,0,61,11,2075
1002,0,5,0,9,49,32,3,0,0,0,98,11,2075
1003,0,3,0,3,14,8,1,0,0,0,29,11,2075
1004,0,3,2,40,16,3,0,0,0,0,64,11,2075
1005,0,13,14,75,90,32,10,1,0,0,235,11,2075
1006,0,3,3,20,15,8,0,0,0,0,49,11,2075
1007,0,0,0,8,16,7,4,0,0,0,35,11,2075
1008,0,14,1,2,12,7,1,1,0,0,38,11,2075
1009,0,2,5,15,28,10,7,0,0,0,67,11,2075
1010,0,5,0,9,20,8,2,0,0,0,44,11,2075
1011,0,0,1,1,3,7,2,1,0,0,15,11,2075
1012,0,1,0,6,14,15,4,1,0,0,41,11,2075
1013,0,0,0,1,8,6,1,0,0,0,16,11,2075
1014,0,2,0,3,10,4,3,0,0,0,22,11,2075
1015,0,3,0,1,7,10,3,0,0,0,24,11,2075
1016,0,3,4,16,21,17,10,0,0,0,71,11,2075
1017,0,6,0,10,7,10,1,0,0,0,34,11,2075
1018,0,1,0,5,13,2,1,0,0,0,22,11,2075
1019,0,0,2,6,6,2,1,0,0,0,17,11,2075
1020,0,1,1,7,14,13,2,0,0,0,38,11,2075
1021,0,8,1,6,9,2,0,0,0,0,26,11,2075
1022,0,0,0,2,8,0,0,0,0,0,10,11,2075
1023,0,1,0,4,10,9,2,0,0,0,26,11,2075
1024,0,2,0,7,15,1,0,0,0,0,25,11,2075
1025,0,7,0,4,14,7,1,0,0,0,33,11,2075
1026,0,0,0,1,1,0,0,0,0,0,2,11,2075
1027,0,1,2,5,21,0,0,0,0,0,29,11,2075
1028,0,1,0,3,16,4,0,0,0,0,24,11,2075
1029,0,2,0,0,0,2,2,0,0,0,6,11,2075
