loc_id,province,district,local_level,ward_no
1060411,Koshi,BHOJPUR,Bhojpur Municipality,11
1060407,Province 1,Bhojpur,Bhojpur Municipality,7
1060303,Koshi,BHOJPUR,Temkemaiyung Rural Municipality,3
1060706,Koshi,BHOJPUR,Ramprasad Rai Rural Municipality,6
1060707,Koshi,BHOJPUR,Ramprasad Rai Rural Municipality,7
1060708,Koshi,BHOJPUR,Ramprasad Rai Rural Municipality,8
1060903,Koshi,BHOJPUR,Aamchowk Rural Municipality,3
1060901,Koshi,BHOJPUR,Aamchowk Rural Municipality,1
1060604,Koshi,BHOJPUR,Pauwadungma Rural Municipality,4
1060402,Koshi,BHOJPUR,Bhojpur Municipality,2
1060410,Koshi,BHOJPUR,Bhojpur Municipality,10
1060408,Koshi,BHOJPUR,Bhojpur Municipality,8
1060409,Koshi,BHOJPUR,Bhojpur Municipality,9
1060403,Koshi,BHOJPUR,Bhojpur Municipality,3
1060406,Koshi,BHOJPUR,Bhojpur Municipality,6
1060400,Koshi,BHOJPUR,Bhojpur Municipality,0
1060902,Koshi,BHOJPUR,Aamchowk Rural Municipality,2
1060309,Koshi,Bhojpur,Temkemaiyung Rural Municipality,9
1060703,Koshi,BHOJPUR,Ramprasad Rai Rural Municipality,3
1010802,Koshi,TAPLEJUNG,Sirijangha Rural Municipality,2
1010807,Koshi,TAPLEJUNG,Sirijangha Rural Municipality,7
1060405,Koshi,BHOJPUR,Bhojpur Municipality,5
1060401,Koshi,BHOJPUR,Bhojpur Municipality,1
1060107,Koshi,BHOJPUR,Shadananda Municipality,7
1060109,Koshi,BHOJPUR,Shadananda Municipality,9
1060113,Koshi,BHOJPUR,Shadananda Municipality,13
1060102,Koshi,BHOJPUR,Shadananda Municipality,2
1060108,Koshi,BHOJPUR,Shadananda Municipality,8
1060114,Koshi,BHOJPUR,Shadananda Municipality,14
1060505,Koshi,BHOJPUR,Arun Rural Municipality,5
1060502,Koshi,BHOJPUR,Arun Rural Municipality,2
1060603,Koshi,BHOJPUR,Pauwadungma Rural Municipality,3
1060601,Koshi,BHOJPUR,Pauwadungma Rural Municipality,1
1060504,Koshi,BHOJPUR,Arun Rural Municipality,4
1060203,Koshi,BHOJPUR,Salpasilichho Rural Municipality,3
1060208,Koshi,BHOJPUR,Salpasilichho Rural Municipality,8
1060308,Koshi,BHOJPUR,Temkemaiyung Rural Municipality,8
1060302,Koshi,BHOJPUR,Temkemaiyung Rural Municipality,2
1060306,Koshi,BHOJPUR,Temkemaiyung Rural Municipality,6
1060301,Koshi,BHOJPUR,Temkemaiyung Rural Municipality,1
1060305,Koshi,BHOJPUR,Temkemaiyung Rural Municipality,5
1060704,Koshi,BHOJPUR,Ramprasad Rai Rural Municipality,4
1060112,Koshi,BHOJPUR,Shadananda Municipality,12
1060111,Koshi,BHOJPUR,Shadananda Municipality,11
1060907,Koshi,BHOJPUR,Aamchowk Rural Municipality,7
1060906,Koshi,BHOJPUR,Aamchowk Rural Municipality,6
1010906,Province 1,Taplejung,Sidingba Rural Municipality,6
1060908,Province 1,Bhojpur,Aamchowk Rural Municipality,8
1010903,Koshi,TAPLEJUNG,Sidingba Rural Municipality,3
1060702,Koshi,BHOJPUR,Ramprasad Rai Rural Municipality,2
1060206,Koshi,BHOJPUR,Salpasilichho Rural Municipality,6
1060205,Koshi,BHOJPUR,Salpasilichho Rural Municipality,5
1060209,Koshi,BHOJPUR,Salpasilichho Rural Municipality,9
1060909,Koshi,BHOJPUR,Aamchowk Rural Municipality,9
1060809,Koshi,BHOJPUR,Hatuwagadhi Rural Municipality,9
1060806,Koshi,BHOJPUR,Hatuwagadhi Rural Municipality,6
1060805,Koshi,BHOJPUR,Hatuwagadhi Rural Municipality,5
1060807,Koshi,BHOJPUR,Hatuwagadhi Rural Municipality,7
1060507,Koshi,BHOJPUR,Arun Rural Municipality,7
1060506,Koshi,BHOJPUR,Arun Rural Municipality,6
1010705,Koshi,TAPLEJUNG,Pathivara Yangwarak Rural Municipality,5
1010707,Koshi,TAPLEJUNG,Pathivara Yangwarak Rural Municipality,7
1060106,Koshi,BHOJPUR,Shadananda Municipality,6
1060105,Koshi,BHOJPUR,Shadananda Municipality,5
1060101,Koshi,BHOJPUR,Shadananda Municipality,1
1060804,Koshi,BHOJPUR,Hatuwagadhi Rural Municipality,4
1060103,Koshi,BHOJPUR,Shadananda Municipality,3
1060204,Koshi,BHOJPUR,Salpasilichho Rural Municipality,4
1060307,Koshi,BHOJPUR,Temkemaiyung Rural Municipality,7
1060201,Koshi,BHOJPUR,Salpasilichho Rural Municipality,1
1060202,Koshi,BHOJPUR,Salpasilichho Rural Municipality,2
1060304,Koshi,BHOJPUR,Temkemaiyung Rural Municipality,4
1060705,Koshi,BHOJPUR,Ramprasad Rai Rural Municipality,5
1010505,Koshi,TAPLEJUNG,Aathrai Tribeni Rural Municipality,5
1010504,Koshi,TAPLEJUNG,Aathrai Tribeni Rural Municipality,4
1010201,Koshi,Taplejung,Mikwakhola Gaunpalika,1
1010204,Koshi,Taplejung,Mikwakhola Gaunpalika,4
1060104,Koshi,BHOJPUR,Shadananda Municipality,4
1060701,Koshi,BHOJPUR,Ramprasad Rai Rural Municipality,1
1060709,Koshi,BHOJPUR,Ramprasad Rai Rural Municipality,9
1060910,Koshi,BHOJPUR,Aamchowk Rural Municipality,10
1060808,Koshi,BHOJPUR,Hatuwagadhi Rural Municipality,8
1060905,Koshi,BHOJPUR,Aamchowk Rural Municipality,5
1060503,Koshi,BHOJPUR,Arun Rural Municipality,3
1060802,Koshi,BHOJPUR,Hatuwagadhi Rural Municipality,2
1060801,Koshi,BHOJPUR,Hatuwagadhi Rural Municipality,1
1060803,Province 1,Bhojpur,Hatuwagadhi Rural Municipality,3
1060110,Koshi,BHOJPUR,Shadananda Municipality,10
1010401,Koshi,TAPLEJUNG,Maiwakhola Rural Municipality,1
1010402,Koshi,TAPLEJUNG,Maiwakhola Rural Municipality,2
1010405,Koshi,TAPLEJUNG,Maiwakhola Rural Municipality,5
1010102,Koshi,Taplejung,Phaktanglung Rural Municipality,2
1010106,Koshi,Taplejung,Phaktanglung Rural Municipality,6
1010101,Koshi,Taplejung,Phaktanglung Rural Municipality,1
1010105,Koshi,Taplejung,Phaktanglung Rural Municipality,5
1060605,Koshi,BHOJPUR,Pauwadungma Rural Municipality,5
1060607,Koshi,BHOJPUR,Pauwadungma Rural Municipality,7
1060404,Koshi,BHOJPUR,Bhojpur Municipality,4
1060412,Koshi,BHOJPUR,Bhojpur Municipality,12
1060904,Koshi,BHOJPUR,Aamchowk Rural Municipality,4
1060606,Koshi,BHOJPUR,Pauwadungma Rural Municipality,6
1060602,Koshi,BHOJPUR,Pauwadungma Rural Municipality,2
1010608,Koshi,TAPLEJUNG,Phungling Municipality,8
1010607,Koshi,TAPLEJUNG,Phungling Municipality,7
1010606,Koshi,Taplejung,Phungling Nagarpalika,6
1010602,Koshi,Taplejung,Phungling Nagarpalika,2
1010605,Koshi,Taplejung,Phungling Nagarpalika,5
1060900,Koshi,BHOJPUR,Aamchowk Rural Municipality,0
1060501,Province 1,Bhojpur,Arun Rural Municipality,1
1010704,Koshi,TAPLEJUNG,Pathivara Yangwarak Rural Municipality,4
1010904,Koshi,Taplejung,Sidingba Gaunpalika,4
1010905,Koshi,Taplejung,Sidingba Gaunpalika,5
1010901,Koshi,Taplejung,Sidingba Gaunpalika,1
1010902,Koshi,Taplejung,Sidingba Gaunpalika,2
1010104,Koshi,TAPLEJUNG,Phaktanglung Rural Municipality,4
1010808,Koshi,Taplejung,Sirijangha Gaunpalika,8
1010804,Koshi,Taplejung,Sirijangha Gaunpalika,4
1010803,Koshi,Taplejung,Sirijangha Gaunpalika,3
1010609,Koshi,TAPLEJUNG,Phungling Municipality,9
1010601,Koshi,TAPLEJUNG,Phungling Municipality,1
1010701,Koshi,Taplejung,Pathivara Yangwarak Gaunpalika,1
1010503,Koshi,TAPLEJUNG,Aathrai Tribeni Rural Municipality,3
1010303,Koshi,TAPLEJUNG,Meringden Rural Municipality,3
1010202,Koshi,TAPLEJUNG,Mikwakhola Rural Municipality,2
1010205,Koshi,TAPLEJUNG,Mikwakhola Rural Municipality,5
1010109,Province 1,Taplejung,Phaktanglung Rural Municipality,9
1010909,Koshi,TAPLEJUNG,Sidingba Rural Municipality,9
1010908,Koshi,TAPLEJUNG,Sidingba Rural Municipality,8
1010304,Koshi,TAPLEJUNG,Meringden Rural Municipality,4
1010103,Koshi,TAPLEJUNG,Phaktanglung Rural Municipality,3
1010108,Koshi,TAPLEJUNG,Phaktanglung Rural Municipality,8
1010107,Koshi,TAPLEJUNG,Phaktanglung Rural Municipality,7
1010203,Koshi,TAPLEJUNG,Mikwakhola Rural Municipality,3
1010806,Koshi,TAPLEJUNG,Sirijangha Rural Municipality,6
1010805,Koshi,TAPLEJUNG,Sirijangha Rural Municipality,5
1010900,Koshi,TAPLEJUNG,Sidingba Rural Municipality,0
1010306,Koshi,TAPLEJUNG,Meringden Rural Municipality,6
1010708,Koshi,TAPLEJUNG,Pathivara Yangwarak Rural Municipality,8
1010703,Koshi,TAPLEJUNG,Pathivara Yangwarak Rural Municipality,3
1010501,Koshi,TAPLEJUNG,Aathrai Tribeni Rural Municipality,1
1010206,Koshi,TAPLEJUNG,Mikwakhola Rural Municipality,6
1010406,Koshi,TAPLEJUNG,Maiwakhola Rural Municipality,6
1010409,Koshi,TAPLEJUNG,Maiwakhola Rural Municipality,9
1010611,Koshi,TAPLEJUNG,Phungling Municipality,11
1010502,Koshi,TAPLEJUNG,Aathrai Tribeni Rural Municipality,2
1010604,Koshi,TAPLEJUNG,Phungling Municipality,4
1010603,Koshi,TAPLEJUNG,Phungling Municipality,3
1010610,Koshi,TAPLEJUNG,Phungling Municipality,10
1010403,Koshi,TAPLEJUNG,Maiwakhola Rural Municipality,3
1010408,Koshi,TAPLEJUNG,Maiwakhola Rural Municipality,8
1010404,Koshi,TAPLEJUNG,Maiwakhola Rural Municipality,4
1010407,Koshi,TAPLEJUNG,Maiwakhola Rural Municipality,7
1010302,Koshi,TAPLEJUNG,Meringden Rural Municipality,2
1010800,Koshi,TAPLEJUNG,Sirijangha Rural Municipality,0
1010809,Koshi,TAPLEJUNG,Sirijangha Rural Municipality,9
1010801,Koshi,TAPLEJUNG,Sirijangha Rural Municipality,1
1010907,Koshi,TAPLEJUNG,Sidingba Rural Municipality,7
1010100,Koshi,TAPLEJUNG,Phaktanglung Rural Municipality,0
1010706,Koshi,TAPLEJUNG,Pathivara Yangwarak Rural Municipality,6
1010702,Koshi,TAPLEJUNG,Pathivara Yangwarak Rural Municipality,2
1010301,Koshi,TAPLEJUNG,Meringden Rural Municipality,1
1010305,Koshi,TAPLEJUNG,Meringden Rural Municipality,5
1010305,Koshi,TAPLEJUNG,Meringden Rural Municipality,5
1030406,Koshi,SOLUKHUMBU,Mapya Dudhkoshi Rural Municipality,6
1030407,Koshi,SOLUKHUMBU,Mapya Dudhkoshi Rural Municipality,7
1030509,Koshi,Solukhumbu,Thulung Dudhkoshi Rural Municipality,9
1030505,Koshi,Solukhumbu,Thulung Dudhkoshi Rural Municipality,5
1030508,Koshi,Solukhumbu,Thulung Dudhkoshi Rural Municipality,8
1030402,Koshi,SOLUKHUMBU,Mapya Dudhkoshi Rural Municipality,2
1030403,Koshi,SOLUKHUMBU,Mapya Dudhkoshi Rural Municipality,3
1030405,Koshi,SOLUKHUMBU,Mapya Dudhkoshi Rural Municipality,5
1030702,Koshi,SOLUKHUMBU,Solududhakunda Municipality,2
1030705,Koshi,SOLUKHUMBU,Solududhakunda Municipality,5
1030703,Koshi,SOLUKHUMBU,Solududhakunda Municipality,3
1030101,Koshi,Solukhumbu,Khumbu Pasanglhamu Rural Municipality,1
1030104,Koshi,Solukhumbu,Khumbu Pasanglhamu Rural Municipality,4
1030103,Koshi,Solukhumbu,Khumbu Pasanglhamu Rural Municipality,3
1030805,Koshi,SOLUKHUMBU,Likhupike Rural Municipality,5
1030201,Province 1,Solukhumbu,Mahakulung Rural Municipality,1
1030202,Koshi,SOLUKHUMBU,Mahakulung Rural Municipality,2
1030204,Koshi,SOLUKHUMBU,Mahakulung Rural Municipality,4
1030804,Koshi,SOLUKHUMBU,Likhupike Rural Municipality,4
1030803,Koshi,SOLUKHUMBU,Likhupike Rural Municipality,3
1030603,Koshi,Solukhumbu,Nechasalyan Gaunpalika,3
1030102,Koshi,SOLUKHUMBU,Khumbupasanglahm Rural Municipality,2
1030100,Province 1,Solukhumbu,Khumbupasanglahm Rural Municipality,0
1030708,Koshi,Solukhumbu,Solududhakunda Nagarpalika,8
1030710,Koshi,Solukhumbu,Solududhakunda Nagarpalika,10
1030305,Koshi,Solukhumbu,Sotang Gaunpalika,5
1030203,Koshi,SOLUKHUMBU,Mahakulung Rural Municipality,3
1030304,Koshi,Solukhumbu,Sotang Gaunpalika,4
1030507,Koshi,SOLUKHUMBU,Thulung Dudhkoshi Rural Municipality,7
1030707,Koshi,SOLUKHUMBU,Solududhakunda Municipality,7
1030706,Koshi,SOLUKHUMBU,Solududhakunda Municipality,6
1030802,Koshi,SOLUKHUMBU,Likhupike Rural Municipality,2
1030801,Koshi,SOLUKHUMBU,Likhupike Rural Municipality,1
1030709,Koshi,SOLUKHUMBU,Solududhakunda Municipality,9
1030205,Koshi,SOLUKHUMBU,Mahakulung Rural Municipality,5
1030309,Province 1,Solukhumbu,Sotang Rural Municipality,9
1030105,Koshi,SOLUKHUMBU,Khumbupasanglahm Rural Municipality,5
1030404,Koshi,SOLUKHUMBU,Mapya Dudhkoshi Rural Municipality,4
1030108,Koshi,SOLUKHUMBU,Khumbupasanglahm Rural Municipality,8
1030401,Koshi,SOLUKHUMBU,Mapya Dudhkoshi Rural Municipality,1
1030109,Koshi,Solukhumbu,Khumbu Pasanglhamu Rural Municipality,9
1030504,Province 1,Solukhumbu,Thulung Dudhkoshi Rural Municipality,4
1030502,Koshi,SOLUKHUMBU,Thulung Dudhkoshi Rural Municipality,2
1030501,Koshi,SOLUKHUMBU,Thulung Dudhkoshi Rural Municipality,1
1030500,Koshi,SOLUKHUMBU,Thulung Dudhkoshi Rural Municipality,0
1030701,Koshi,SOLUKHUMBU,Solududhakunda Municipality,1
1030704,Koshi,SOLUKHUMBU,Solududhakunda Municipality,4
1030301,Koshi,SOLUKHUMBU,Sotang Rural Municipality,1
1030303,Province 1,Solukhumbu,Sotang Rural Municipality,3
1030302,Koshi,SOLUKHUMBU,Sotang Rural Municipality,2
1030506,Koshi,SOLUKHUMBU,Thulung Dudhkoshi Rural Municipality,6
1030605,Koshi,SOLUKHUMBU,Nechasalyan Rural Municipality,5
1030604,Koshi,SOLUKHUMBU,Nechasalyan Rural Municipality,4
1030606,Koshi,SOLUKHUMBU,Nechasalyan Rural Municipality,6
1030602,Koshi,SOLUKHUMBU,Nechasalyan Rural Municipality,2
1030503,Province 1,Solukhumbu,Thulung Dudhkoshi Rural Municipality,3
1030601,Koshi,SOLUKHUMBU,Nechasalyan Rural Municipality,1
1030711,Koshi,SOLUKHUMBU,Solududhakunda Municipality,11
1040203,Koshi,OKHALDHUNGA,Siddhicharan Municipality,3
1040601,Koshi,Okhaladhunga,Champadevi Gaunpalika,1
1040610,Koshi,Okhaladhunga,Champadevi Gaunpalika,10
1040602,Koshi,Okhaladhunga,Champadevi Gaunpalika,2
1040802,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,2
1040807,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,7
1040808,Province 1,Okhaladhunga,Manebhanjyang Rural Municipality,8
1040801,Province 1,Okhaladhunga,Manebhanjyang Rural Municipality,1
1040702,Koshi,OKHALDHUNGA,Sunkoshi Rural Municipality,2
1040701,Koshi,OKHALDHUNGA,Sunkoshi Rural Municipality,1
1040205,Koshi,OKHALDHUNGA,Siddhicharan Municipality,5
1040204,Koshi,OKHALDHUNGA,Siddhicharan Municipality,4
1040202,Koshi,OKHALDHUNGA,Siddhicharan Municipality,2
1040302,Koshi,OKHALDHUNGA,Molung Rural Municipality,2
1040209,Koshi,OKHALDHUNGA,Siddhicharan Municipality,9
1040806,Koshi,Okhaladhunga,Manebhanjyang Gaunpalika,6
1040804,Koshi,Okhaladhunga,Manebhanjyang Gaunpalika,4
1040803,Koshi,Okhaladhunga,Manebhanjyang Gaunpalika,3
1040210,Koshi,OKHALDHUNGA,Siddhicharan Municipality,10
1040306,Koshi,Okhaladhunga,Molung Gaunpalika,6
1040106,Koshi,OKHALDHUNGA,Chisankhugadhi Rural Municipality,6
1040107,Province 1,Okhaldhunga,Chisankhugadhi Rural Municipality,7
1040105,Province 1,Okhaladhunga,Chisankhugadhi Rural Municipality,5
1040104,Koshi,OKHALDHUNGA,Chisankhugadhi Rural Municipality,4
1040108,Koshi,OKHALDHUNGA,Chisankhugadhi Rural Municipality,8
1040101,Koshi,OKHALDHUNGA,Chisankhugadhi Rural Municipality,1
1040211,Koshi,Okhaladhunga,Siddhicharan Nagarpalika,11
1040208,Koshi,Okhaladhunga,Siddhicharan Nagarpalika,8
1040207,Koshi,Okhaladhunga,Siddhicharan Nagarpalika,7
1040408,Koshi,OKHALDHUNGA,Khijidemba Rural Municipality,8
1040404,Koshi,OKHALDHUNGA,Khijidemba Rural Municipality,4
1040407,Koshi,OKHALDHUNGA,Khijidemba Rural Municipality,7
1040405,Koshi,OKHALDHUNGA,Khijidemba Rural Municipality,5
1040403,Koshi,OKHALDHUNGA,Khijidemba Rural Municipality,3
1040707,Koshi,Okhaladhunga,Sunkoshi Gaunpalika,7
1040703,Koshi,Okhaladhunga,Sunkoshi Gaunpalika,3
1040704,Koshi,Okhaladhunga,Sunkoshi Gaunpalika,4
1040710,Koshi,Okhaladhunga,Sunkoshi Gaunpalika,10
1040609,Koshi,OKHALDHUNGA,Champadevi Rural Municipality,9
1040603,Koshi,OKHALDHUNGA,Champadevi Rural Municipality,3
1040608,Koshi,OKHALDHUNGA,Champadevi Rural Municipality,8
1040706,Koshi,OKHALDHUNGA,Sunkoshi Rural Municipality,6
1040708,Koshi,OKHALDHUNGA,Sunkoshi Rural Municipality,8
1040103,Koshi,OKHALDHUNGA,Chisankhugadhi Rural Municipality,3
1040604,Koshi,OKHALDHUNGA,Champadevi Rural Municipality,4
1040605,Koshi,OKHALDHUNGA,Champadevi Rural Municipality,5
1040606,Koshi,OKHALDHUNGA,Champadevi Rural Municipality,6
1040607,Koshi,OKHALDHUNGA,Champadevi Rural Municipality,7
1040600,Province 1,Okhaladhunga,Champadevi Rural Municipality,0
1040506,Koshi,OKHALDHUNGA,Likhu Rural Municipality,6
1040507,Koshi,OKHALDHUNGA,Likhu Rural Municipality,7
1040304,Koshi,OKHALDHUNGA,Molung Rural Municipality,4
1040303,Koshi,OKHALDHUNGA,Molung Rural Municipality,3
1040309,Koshi,Okhaladhunga,Molung Gaunpalika,9
1040206,Koshi,OKHALDHUNGA,Siddhicharan Municipality,6
1040201,Koshi,OKHALDHUNGA,Siddhicharan Municipality,1
1040709,Province 1,Okhaldhunga,Sunkoshi Rural Municipality,9
1040406,Koshi,OKHALDHUNGA,Khijidemba Rural Municipality,6
1040301,Koshi,OKHALDHUNGA,Molung Rural Municipality,1
1040809,Koshi,OKHALDHUNGA,Manebhanjyang Rural Municipality,9
1040805,Koshi,OKHALDHUNGA,Manebhanjyang Rural Municipality,5
1040705,Koshi,OKHALDHUNGA,Sunkoshi Rural Municipality,5
1040503,Koshi,OKHALDHUNGA,Likhu Rural Municipality,3
1040200,Koshi,OKHALDHUNGA,Siddhicharan Municipality,0
1040212,Koshi,OKHALDHUNGA,Siddhicharan Municipality,12
1040409,Koshi,OKHALDHUNGA,Khijidemba Rural Municipality,9
1040307,Koshi,OKHALDHUNGA,Molung Rural Municipality,7
1040509,Koshi,OKHALDHUNGA,Likhu Rural Municipality,9
1040102,Koshi,OKHALDHUNGA,Chisankhugadhi Rural Municipality,2
1040305,Koshi,OKHALDHUNGA,Molung Rural Municipality,5
1040308,Koshi,OKHALDHUNGA,Molung Rural Municipality,8
1040402,Koshi,OKHALDHUNGA,Khijidemba Rural Municipality,2
1040401,Koshi,OKHALDHUNGA,Khijidemba Rural Municipality,1
1040502,Koshi,OKHALDHUNGA,Likhu Rural Municipality,2
1040501,Koshi,OKHALDHUNGA,Likhu Rural Municipality,1
1040508,Koshi,OKHALDHUNGA,Likhu Rural Municipality,8
1040800,Koshi,OKHALDHUNGA,Manebhanjyang Rural Municipality,0
1040505,Province No. 1,Okhaladhunga ,Likhu Gaunpalika ,5
1040504,Koshi,OKHALDHUNGA,Likhu Rural Municipality,4
1050203,Koshi,KHOTANG,Ainselukharka Rural Municipality,3
1050208,Province 1,Khotang,Aiselukharka Rural Municipality,8
1050207,Province 1,Khotang,Aiselukharka Rural Municipality,7
1050510,Koshi,Khotang,Diktel Rupakot Majhuwagadhi Nagarpalika,10
1050410,Koshi,KHOTANG,Halesi Tuwachung Municipality,10
1050411,Province 1,Khotang,Halesi Tuwachung Municipality,11
1050404,Koshi,KHOTANG,Halesi Tuwachung Municipality,4
1050402,Koshi,KHOTANG,Halesi Tuwachung Municipality,2
1050804,Koshi,KHOTANG,Khotehang Rural Municipality,4
1050409,Koshi,Khotang,Halesi Tuwachung Municipality,9
1050401,Koshi,Khotang,Halesi Tuwachung Municipality,1
1050408,Koshi,KHOTANG,Halesi Tuwachung Municipality,8
1050905,Koshi,Khotang,Jantedhunga Gaunpalika,5
1050205,Koshi,KHOTANG,Ainselukharka Rural Municipality,5
1050202,Koshi,KHOTANG,Ainselukharka Rural Municipality,2
1050201,Koshi,KHOTANG,Ainselukharka Rural Municipality,1
1050104,Koshi,KHOTANG,Kepilasagadhi Rural Municipality,4
1050807,Koshi,Khotang,Khotehang Gaunpalika,7
1050503,Koshi,KHOTANG,Diktel Rupakot Majhuwagadhi Municipality,3
1050508,Koshi,KHOTANG,Diktel Rupakot Majhuwagadhi Municipality,8
1050506,Koshi,KHOTANG,Diktel Rupakot Majhuwagadhi Municipality,6
1050505,Province 1,Khotang,Diktel Rupakot Majhuwagadhi Municipality,5
1051001,Koshi,KHOTANG,Barahapokhari Rural Municipality,1
1050103,Koshi,KHOTANG,Kepilasagadhi Rural Municipality,3
1050109,Koshi,KHOTANG,Kepilasagadhi Rural Municipality,9
1050102,Koshi,KHOTANG,Kepilasagadhi Rural Municipality,2
1050603,Koshi,Khotang,Sakela Rural Municipality,3
1050704,Koshi,KHOTANG,Diprung Chuichumma Rural Municipality,4
1050515,Koshi,KHOTANG,Diktel Rupakot Majhuwagadhi Municipality,15
1050514,Koshi,KHOTANG,Diktel Rupakot Majhuwagadhi Municipality,14
1050504,Koshi,KHOTANG,Diktel Rupakot Majhuwagadhi Municipality,4
1050706,Koshi,KHOTANG,Diprung Chuichumma Rural Municipality,6
1050705,Koshi,KHOTANG,Diprung Chuichumma Rural Municipality,5
1050703,Koshi,KHOTANG,Diprung Chuichumma Rural Municipality,3
1050805,Koshi,KHOTANG,Khotehang Rural Municipality,5
1050901,Province 1,Khotang,Jantedhunga Rural Municipality,1
1050604,Koshi,KHOTANG,Sakela Rural Municipality,4
1050601,Koshi,KHOTANG,Sakela Rural Municipality,1
1050403,Koshi,KHOTANG,Halesi Tuwachung Municipality,3
1050406,Province 1,Khotang,Halesi Tuwachung Municipality,6
1050904,Koshi,KHOTANG,Jantedhunga Rural Municipality,4
1050702,Koshi,KHOTANG,Diprung Chuichumma Rural Municipality,2
1050707,Koshi,KHOTANG,Diprung Chuichumma Rural Municipality,7
1050709,Province 1,Khotang,Diprung Chuichumma Rural Municipality,9
1050407,Koshi,KHOTANG,Halesi Tuwachung Municipality,7
1050501,Koshi,KHOTANG,Diktel Rupakot Majhuwagadhi Municipality,1
1050507,Koshi,KHOTANG,Diktel Rupakot Majhuwagadhi Municipality,7
1050502,Koshi,KHOTANG,Diktel Rupakot Majhuwagadhi Municipality,2
1050500,Province 1,Khotang,Diktel Rupakot Majhuwagadhi Municipality,0
1050906,Province 1,Khotang,Jantedhunga Rural Municipality,6
1050902,Koshi,KHOTANG,Jantedhunga Rural Municipality,2
1050509,Province 1,Khotang,Diktel Rupakot Majhuwagadhi Municipality,9
1050305,Koshi,KHOTANG,Rawa Besi Rural Municipality,5
1050304,Koshi,KHOTANG,Rawa Besi Rural Municipality,4
1050405,Koshi,KHOTANG,Halesi Tuwachung Municipality,5
1051004,Koshi,KHOTANG,Barahapokhari Rural Municipality,4
1050306,Koshi,KHOTANG,Rawa Besi Rural Municipality,6
1050302,Koshi,KHOTANG,Rawa Besi Rural Municipality,2
1050808,Koshi,KHOTANG,Khotehang Rural Municipality,8
1050806,Province 1,Khotang,Khotehang Rural Municipality,6
1050512,Koshi,KHOTANG,Diktel Rupakot Majhuwagadhi Municipality,12
1050206,Koshi,KHOTANG,Ainselukharka Rural Municipality,6
1050903,Koshi,KHOTANG,Jantedhunga Rural Municipality,3
1050511,Koshi,KHOTANG,Diktel Rupakot Majhuwagadhi Municipality,11
1050101,Koshi,KHOTANG,Kepilasagadhi Rural Municipality,1
1050809,Koshi,KHOTANG,Khotehang Rural Municipality,9
1050301,Koshi,KHOTANG,Rawa Besi Rural Municipality,1
1050303,Koshi,KHOTANG,Rawa Besi Rural Municipality,3
1050309,Province 1,Khotang,Rawa Besi Rural Municipality,9
1050801,Province 1,Khotang,Khotehang Rural Municipality,1
1050605,Koshi,KHOTANG,Sakela Rural Municipality,5
1051006,Koshi,KHOTANG,Barahapokhari Rural Municipality,6
1050513,Koshi,KHOTANG,Diktel Rupakot Majhuwagadhi Municipality,13
1051005,Koshi,KHOTANG,Barahapokhari Rural Municipality,5
1050110,Koshi,KHOTANG,Kepilasagadhi Rural Municipality,10
1050106,Koshi,KHOTANG,Kepilasagadhi Rural Municipality,6
1050609,Koshi,KHOTANG,Sakela Rural Municipality,9
1050602,Koshi,KHOTANG,Sakela Rural Municipality,2
1050608,Koshi,KHOTANG,Sakela Rural Municipality,8
1050607,Koshi,KHOTANG,Sakela Rural Municipality,7
1050204,Koshi,KHOTANG,Ainselukharka Rural Municipality,4
1050701,Koshi,KHOTANG,Diprung Chuichumma Rural Municipality,1
1050105,Koshi,KHOTANG,Kepilasagadhi Rural Municipality,5
1051003,Koshi,KHOTANG,Barahapokhari Rural Municipality,3
1050803,Province 1,Khotang,Khotehang Rural Municipality,3
1050107,Koshi,KHOTANG,Kepilasagadhi Rural Municipality,7
1051002,Koshi,KHOTANG,Barahapokhari Rural Municipality,2
1050708,Koshi,KHOTANG,Diprung Chuichumma Rural Municipality,8
1050700,Province 1,Khotang,Diprung Chuichumma Rural Municipality,0
1050802,Koshi,KHOTANG,Khotehang Rural Municipality,2
1140405,Koshi,UDAYAPUR,Rautamai Rural Municipality,5
1140406,Koshi,UDAYAPUR,Rautamai Rural Municipality,6
1140106,Koshi,Udayapur,Belaka Municipality,6
1140103,Koshi,Udayapur,Belaka Municipality,3
1140101,Koshi,Udayapur,Belaka Municipality,1
1140109,Koshi,Udayapur,Belaka Municipality,9
1140104,Koshi,Udayapur,Belaka Municipality,4
1140102,Koshi,Udayapur,Belaka Municipality,2
1140107,Koshi,Udayapur,Belaka Municipality,7
1140504,Koshi,UDAYAPUR,Limchungbung Rural Municipality,4
1140508,Koshi,UDAYAPUR,Limchungbung Rural Municipality,8
1140204,Koshi,Udayapur,Chaudandigadhi Municipality,4
1140207,Koshi,Udayapur,Chaudandigadhi Municipality,7
1140202,Koshi,Udayapur,Chaudandigadhi Municipality,2
1140209,Koshi,Udayapur,Chaudandigadhi Municipality,9
1140205,Koshi,Udayapur,Chaudandigadhi Municipality,5
1140208,Koshi,Udayapur,Chaudandigadhi Municipality,8
1140206,Koshi,Udayapur,Chaudandigadhi Municipality,6
